subnum	congruent	cuepos	normalizedResp	response	rt	soa	targetorientation	targetpos
1	0	2	5.47863505964	132.97863506	2.00162242158	0.4	127.5	1
1	1	1	-8.66913932791	88.8308606721	2.60147861733	0.1	97.5	1
1	1	2	2.02263127117	39.5226312712	3.10125141533	0.1	37.5	2
1	1	1	7.35861444792	59.8586144479	2.75170291833	-0.1	52.5	1
1	1	1	-7.5	90.0	2.81799825296	-0.1	97.5	1
1	1	2	3.61391263029	161.11391263	3.83433070822	0.1	157.5	2
1	1	2	-0.942920714962	21.557079285	2.48489688058	0.1	22.5	2
1	0	2	-5.26882539197	2.23117460803	3.23465992558	0.4	7.5	1
1	0	1	-8.69348942398	133.806510576	1.88497423533	0.1	142.5	2
1	0	2	4.54922089099	42.049220891	2.41826682396	0.1	37.5	1
1	1	1	-6.68154453831	0.818455461689	2.33493950909	-0.1	7.5	1
1	1	1	11.4182488641	138.918248864	1.76852115458	-0.1	127.5	1
1	0	2	-2.45062668795	80.049373312	1.96836491145	-0.1	82.5	1
1	0	2	-10.405242923	147.094757077	2.33481769809	-0.1	157.5	1
1	0	-1	6.26764933884	28.7676493388	3.08463038471	0.1	22.5	1
1	1	2	2.84617594195	70.3461759419	3.68428857309	-0.1	67.5	2
1	1	2	1.38065915052	143.880659151	2.20171833309	0.1	142.5	2
1	0	-1	-11.58561678	130.91438322	2.08493743971	0.4	142.5	1
1	1	2	1.96232220803	144.462322208	2.65153344145	-0.1	142.5	2
1	1	1	-3.78471089457	138.715289105	2.33481249158	-0.1	142.5	1
1	1	2	-8.83221985387	88.6677801461	2.01825930345	-0.1	97.5	2
1	0	2	-73.0560452196	159.44395478	3.33440159383	0.4	52.5	1
1	0	1	17.8141001605	40.3141001605	2.63474815209	-0.1	22.5	2
1	1	2	-72.6341930569	99.8658069431	1.68524282071	0.4	172.5	2
1	0	2	0.588772880975	173.088772881	2.11826366109	0.1	172.5	1
1	0	2	-12.1538240581	70.3461759419	3.15120513933	0.4	82.5	1
1	1	2	12.894795845	35.394795845	1.90178831933	-0.1	22.5	2
1	1	1	3.80993247402	56.309932474	1.63511558971	0.1	52.5	1
1	0	1	-16.1955028774	126.304497123	1.65186975358	-0.1	142.5	2
1	0	1	-32.9374753511	79.5625246489	1.91833208445	0.1	112.5	2
1	1	2	32.5168934781	115.016893478	2.13504125058	0.1	82.5	2
1	0	-1	-18.41438322	49.08561678	2.55142092609	0.4	67.5	2
1	0	1	-2.48688624496	5.01311375504	3.33444173845	0.1	7.5	2
1	0	-1	26.7868769772	124.286876977	2.85138484996	0.4	97.5	2
1	1	2	25.5774553994	48.0774553994	2.26821869133	0.4	22.5	2
1	1	2	-21.2397952917	106.260204708	2.38494587309	-0.1	127.5	2
1	0	2	57.2222777644	64.7222777644	2.36820309433	0.1	7.5	1
1	0	2	19.1335393366	131.633539337	2.25160048433	-0.1	112.5	1
1	1	1	17.7039737217	100.203973722	2.50153532809	-0.1	82.5	1
1	0	1	-53.0208563745	179.479143625	1.83503859345	-0.1	52.5	2
1	1	1	-2.44390526342	155.056094737	1.96843985345	-0.1	157.5	1
1	0	-1	17.5835940062	25.0835940062	2.13499548009	0.4	7.5	1
1	1	1	3.50908690157	86.0090869016	1.86847288145	0.4	82.5	1
1	0	-1	-31.4041384554	51.0958615446	1.96831446796	0.1	82.5	1
